species,replicate,dose,time,rawod,OD_minimum_of_each_well,od_corrected,OD_zero_mean_of_each_group_replicate_timepoint,od_normalized
KT2440,1,0,0.0,0.029348812,0.021248009,0.03,0.03,1.0
KT2440,1,0,0.25,0.028950412,0.021248009,0.03,0.03,1.0
KT2440,1,0,0.5,0.036652815,0.021248009,0.03,0.03,1.0
KT2440,1,0,0.75,0.04807362,0.021248009,0.03,0.03,1.0
KT2440,1,0,1.0,0.052057622,0.021248009,0.030809612999999996,0.030809612999999996,1.0
KT2440,1,0,1.25,0.04807362,0.021248009,0.03,0.03,1.0
KT2440,1,0,1.5,0.055776023,0.021248009,0.034528013999999996,0.034528013999999996,1.0
KT2440,1,0,1.75,0.052190422,0.021248009,0.030942413,0.030942413,1.0
KT2440,1,0,2.0,0.059892825,0.021248009,0.038644816,0.038644816,1.0
KT2440,1,0,2.25,0.063611227,0.021248009,0.04236321800000001,0.04236321800000001,1.0
KT2440,1,0,2.5,0.075563232,0.021248009,0.054315222999999996,0.054315222999999996,1.0
KT2440,1,0,2.75,0.090436838,0.021248009,0.06918882900000001,0.06918882900000001,1.0
KT2440,1,0,3.0,0.105974444,0.021248009,0.084726435,0.084726435,1.0
KT2440,1,0,3.25,0.125097652,0.021248009,0.103849643,0.103849643,1.0
KT2440,1,0,3.5,0.159758467,0.021248009,0.13851045799999998,0.13851045799999998,1.0
KT2440,1,0,3.75,0.194684881,0.021248009,0.173436872,0.173436872,1.0
KT2440,1,0,4.0,0.256171307,0.021248009,0.234923298,0.234923298,1.0
KT2440,1,0,4.25,0.398665767,0.021248009,0.377417758,0.377417758,1.0
KT2440,1,0,4.5,0.660680276,0.021248009,0.639432267,0.639432267,1.0
KT2440,1,0,4.75,0.891619573,0.021248009,0.870371564,0.870371564,1.0
KT2440,1,0,5.0,1.030395631,0.021248009,1.009147622,1.009147622,1.0
KT2440,1,0,5.25,1.103568461,0.021248009,1.082320452,1.082320452,1.0
KT2440,1,0,5.5,1.176475692,0.021248009,1.155227683,1.155227683,1.0
KT2440,1,0,5.75,1.092014857,0.021248009,1.0707668479999999,1.0707668479999999,1.0
KT2440,1,0,6.0,1.245930121,0.021248009,1.224682112,1.224682112,1.0
KT2440,1,0,6.25,1.546589447,0.021248009,1.5253414379999999,1.5253414379999999,1.0
KT2440,1,0,6.5,1.638885485,0.021248009,1.617637476,1.617637476,1.0
KT2440,1,0,6.75,1.688951106,0.021248009,1.667703097,1.667703097,1.0
KT2440,1,0,7.0,1.850701574,0.021248009,1.829453565,1.829453565,1.0
KT2440,1,0,7.25,2.077789669,0.021248009,2.05654166,2.05654166,1.0
KT2440,1,0,7.5,2.235821735,0.021248009,2.2145737260000002,2.2145737260000002,1.0
KT2440,1,0,7.75,2.382300196,0.021248009,2.3610521870000003,2.3610521870000003,1.0
KT2440,1,0,8.0,2.555604268,0.021248009,2.5343562590000004,2.5343562590000004,1.0
KT2440,1,0,8.25,2.786676365,0.021248009,2.765428356,2.765428356,1.0
KT2440,1,0,8.5,2.959714837,0.021248009,2.938466828,2.938466828,1.0
KT2440,1,0,8.75,3.13301891,0.021248009,3.1117709010000003,3.1117709010000003,1.0
KT2440,1,0,9.0,3.329695792,0.021248009,3.308447783,3.308447783,1.0
KT2440,1,0,9.25,3.537527879,0.021248009,3.5162798700000004,3.5162798700000004,1.0
KT2440,1,0,9.5,3.722518356,0.021248009,3.7012703470000003,3.7012703470000003,1.0
KT2440,1,0,9.75,3.857177612,0.021248009,3.8359296030000003,3.8359296030000003,1.0
KT2440,1,0,10.0,4.061158498,0.021248009,4.039910489,4.039910489,1.0
KT2440,1,0,10.25,4.219057764,0.021248009,4.197809755000001,4.197809755000001,1.0
KT2440,1,0,10.5,4.373504228,0.021248009,4.352256219,4.352256219,1.0
KT2440,1,0,10.75,4.539105898,0.021248009,4.517857889,4.517857889,1.0
KT2440,1,0,11.0,4.770045194,0.021248009,4.748797185,4.748797185,1.0
KT2440,1,0,11.25,5.228205386,0.021248009,5.206957377,5.206957377,1.0
KT2440,1,0,11.5,5.763522409,0.021248009,5.7422744,5.7422744,1.0
KT2440,1,0,11.75,5.71744079,0.021248009,5.696192781000001,5.696192781000001,1.0
KT2440,1,0,12.0,5.694466381,0.021248009,5.673218372,5.673218372,1.0
KT2440,1,0,12.25,5.563392726,0.021248009,5.542144717,5.542144717,1.0
KT2440,1,0,12.5,5.444271076,0.021248009,5.423023067,5.423023067,1.0
KT2440,1,0,12.75,5.47840069,0.021248009,5.457152681,5.457152681,1.0
