date,plt,well,wellid,time_h,rawod,col,row,cpd,qrt,um,species,strain,nick,dil,OD_minus1_of_each_group_replicate_timepoint,OD_corrected,OD_zero_mean_of_each_group_replicate_timepoint,OD_normalized
5/4/2022,4,M1,1-4-M1,0.0,0.217,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.188,1.1542553191489362
5/4/2022,4,M1,1-4-M1,1.08,0.233,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.193,0.04000000000000001,0.202,1.1534653465346534
5/4/2022,4,M1,1-4-M1,2.16,0.213,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.195,0.03,0.236,0.902542372881356
5/4/2022,4,M1,1-4-M1,3.24,0.213,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.192,0.03,0.313,0.6805111821086262
5/4/2022,4,M1,1-4-M1,4.32,0.212,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.19,0.03,0.382,0.5549738219895288
5/4/2022,4,M1,1-4-M1,5.41,0.211,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.189,0.03,0.431,0.4895591647331786
5/4/2022,4,M1,1-4-M1,6.49,0.21,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.469,0.44776119402985076
5/4/2022,4,M1,1-4-M1,7.57,0.21,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.495,0.42424242424242425
5/4/2022,4,M1,1-4-M1,8.65,0.209,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.511,0.4090019569471624
5/4/2022,4,M1,1-4-M1,9.73,0.209,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.525,0.39809523809523806
5/4/2022,4,M1,1-4-M1,10.82,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.53,0.3924528301886792
5/4/2022,4,M1,1-4-M1,11.9,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.538,0.3866171003717472
5/4/2022,4,M1,1-4-M1,12.98,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.54,0.38518518518518513
5/4/2022,4,M1,1-4-M1,14.06,0.207,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.546,0.37912087912087905
5/4/2022,4,M1,1-4-M1,15.14,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.551,0.3774954627949183
5/4/2022,4,M11,1-4-M11,0.0,0.209,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.03,0.188,1.1117021276595744
5/4/2022,4,M11,1-4-M11,1.08,0.221,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.193,0.03,0.202,1.094059405940594
5/4/2022,4,M11,1-4-M11,2.16,0.253,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.195,0.057999999999999996,0.236,1.0720338983050848
5/4/2022,4,M11,1-4-M11,3.24,0.319,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.192,0.127,0.313,1.0191693290734825
5/4/2022,4,M11,1-4-M11,4.32,0.377,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.19,0.187,0.382,0.9869109947643979
5/4/2022,4,M11,1-4-M11,5.41,0.42,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.189,0.23099999999999998,0.431,0.974477958236659
5/4/2022,4,M11,1-4-M11,6.49,0.456,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.269,0.469,0.9722814498933903
5/4/2022,4,M11,1-4-M11,7.57,0.488,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.301,0.495,0.9858585858585859
5/4/2022,4,M11,1-4-M11,8.65,0.502,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.186,0.316,0.511,0.9823874755381604
5/4/2022,4,M11,1-4-M11,9.73,0.522,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.186,0.336,0.525,0.9942857142857143
5/4/2022,4,M11,1-4-M11,10.82,0.53,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.186,0.34400000000000003,0.53,1.0
5/4/2022,4,M11,1-4-M11,11.9,0.54,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.35300000000000004,0.538,1.003717472118959
5/4/2022,4,M11,1-4-M11,12.98,0.539,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.35200000000000004,0.54,0.9981481481481481
5/4/2022,4,M11,1-4-M11,14.06,0.547,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.186,0.36100000000000004,0.546,1.0018315018315018
5/4/2022,4,M11,1-4-M11,15.14,0.551,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.36400000000000005,0.551,1.0
5/4/2022,4,M13,1-4-M13,0.0,0.209,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.187,0.03,0.188,1.1117021276595744
5/4/2022,4,M13,1-4-M13,1.08,0.22,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.193,0.03,0.202,1.089108910891089
5/4/2022,4,M13,1-4-M13,2.16,0.253,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.195,0.057999999999999996,0.236,1.0720338983050848
5/4/2022,4,M13,1-4-M13,3.24,0.314,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.192,0.122,0.313,1.0031948881789137
5/4/2022,4,M13,1-4-M13,4.32,0.369,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.19,0.179,0.382,0.9659685863874345
5/4/2022,4,M13,1-4-M13,5.41,0.412,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.189,0.22299999999999998,0.431,0.9559164733178654
5/4/2022,4,M13,1-4-M13,6.49,0.444,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.187,0.257,0.469,0.9466950959488274
5/4/2022,4,M13,1-4-M13,7.57,0.476,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.187,0.289,0.495,0.9616161616161616
5/4/2022,4,M13,1-4-M13,8.65,0.488,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.186,0.302,0.511,0.9549902152641878
5/4/2022,4,M13,1-4-M13,9.73,0.505,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.186,0.319,0.525,0.9619047619047618
5/4/2022,4,M13,1-4-M13,10.82,0.517,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.186,0.331,0.53,0.9754716981132076
5/4/2022,4,M13,1-4-M13,11.9,0.529,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.187,0.342,0.538,0.983271375464684
5/4/2022,4,M13,1-4-M13,12.98,0.526,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.187,0.339,0.54,0.9740740740740741
5/4/2022,4,M13,1-4-M13,14.06,0.54,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.186,0.35400000000000004,0.546,0.989010989010989
5/4/2022,4,M13,1-4-M13,15.14,0.544,13,M,Azithromycin,1,0.1,S. flexneri,M90T,Sf,100x,0.187,0.35700000000000004,0.551,0.9872958257713249
5/4/2022,4,M15,1-4-M15,0.0,0.189,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,100x,0.187,0.03,0.188,1.0053191489361701
5/4/2022,4,M15,1-4-M15,1.08,0.204,15,M,Azithromycin,1,0.03,S. flexneri,M90T,Sf,100x,0.193,0.03,0.202,1.0099009900990097
