Time,Plate,Well,Raw_od,hour,Well_id,Plt_well,Well_row,Well_column,Condition,Ratio,XMIC,MIC ug/ml,OD_minimum_of_each_well,OD_corrected
0:00:34,1,A1,0.205,0.00944,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
0:59:29,1,A1,0.2,0.99139,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
1:59:31,1,A1,0.2,1.99194,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
2:59:31,1,A1,0.2,2.99194,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
3:59:33,1,A1,0.202,3.9925,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
4:59:33,1,A1,0.205,4.9925,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
5:59:34,1,A1,0.21,5.99278,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
6:59:35,1,A1,0.216,6.99306,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
7:59:36,1,A1,0.226,7.99333,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.03
8:59:37,1,A1,0.236,8.99361,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.035999999999999976
9:59:38,1,A1,0.25,9.99389,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.04999999999999999
10:59:39,1,A1,0.26,10.99417,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.06
11:59:40,1,A1,0.27,11.99444,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.07
12:59:41,1,A1,0.266,12.99472,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.066
13:59:42,1,A1,0.266,13.995,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.066
14:59:43,1,A1,0.265,14.99528,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.065
15:59:44,1,A1,0.264,15.99556,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.064
16:59:45,1,A1,0.263,16.99583,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.063
17:59:44,1,A1,0.262,17.99556,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.062
18:59:45,1,A1,0.262,18.99583,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.062
19:59:47,1,A1,0.26,19.99639,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.06
20:59:47,1,A1,0.261,20.99639,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.061
21:59:49,1,A1,0.258,21.99694,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
22:59:50,1,A1,0.258,22.99722,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
23:59:51,1,A1,0.258,23.9975,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
24:59:51,1,A1,0.257,24.9975,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.056999999999999995
25:59:52,1,A1,0.258,25.99778,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
26:59:54,1,A1,0.258,26.99833,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
27:59:54,1,A1,0.258,27.99833,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
28:59:55,1,A1,0.258,28.99861,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
29:59:56,1,A1,0.258,29.99889,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
30:59:57,1,A1,0.258,30.99917,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
31:59:58,1,A1,0.258,31.99944,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
32:59:58,1,A1,0.259,32.99944,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.059
34:00:00,1,A1,0.258,34.0,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.057999999999999996
35:00:01,1,A1,0.259,35.00028,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.059
36:00:01,1,A1,0.259,36.00028,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.059
37:00:02,1,A1,0.259,37.00056,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.059
38:00:03,1,A1,0.26,38.00083,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.06
39:00:04,1,A1,0.261,39.00111,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.061
40:00:05,1,A1,0.26,40.00139,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.06
41:00:06,1,A1,0.261,41.00167,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.061
42:00:06,1,A1,0.261,42.00167,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.061
43:00:08,1,A1,0.261,43.00222,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.061
44:00:09,1,A1,0.262,44.0025,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.062
45:00:09,1,A1,0.262,45.0025,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.062
46:00:11,1,A1,0.263,46.00306,SPL1,1 - SPL1,A,1,SF,20,128.0,29.19296,0.2,0.063
