um,od_normalized
100,0.088495575
0.3,0.991150442
0.1,0.94100295
0.03,0.8820059
0.01,0.899705015
0.003,0.89380531
0,1
30,0.194690265
10,0.657817109
3,0.873156342
1,0.94100295
100,0.104529617
0.3,0.993031359
0.1,1.160278746
0.03,1.020905923
0.01,1.362369338
0.003,0.975609756
0,1
30,0.104529617
10,0.167247387
3,0.599303136
1,0.986062718
100,0.109929078
0.3,0.971631206
0.1,1.127659574
0.03,0.897163121
0.01,1.209219858
0.003,1.04964539
0,1
30,0.156028369
10,0.539007092
3,0.918439716
1,0.985815603
100,0.113138686
0.3,0.879562044
0.1,1.065693431
0.03,0.95620438
0.01,0.802919708
0.003,1.076642336
0,1
30,0.109489051
10,0.218978102
3,0.886861314
1,1.094890511
