date,plt,well,wellid,time_h,rawod,col,row,cpd,qrt,um,species,strain,nick,dil,OD_minus1_of_each_group_replicate_timepoint,od_corrected,OD_zero_mean_of_each_group_replicate_timepoint,od_normalized
5/4/2022,4,M1,1-4-M1,0.0,0.217,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.03,1.0
5/4/2022,4,M1,1-4-M1,1.08,0.233,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.193,0.04000000000000001,0.03,1.3333333333333337
5/4/2022,4,M1,1-4-M1,2.16,0.213,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.195,0.03,0.04099999999999998,0.731707317073171
5/4/2022,4,M1,1-4-M1,3.24,0.213,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.192,0.03,0.121,0.24793388429752067
5/4/2022,4,M1,1-4-M1,4.32,0.212,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.19,0.03,0.192,0.15625
5/4/2022,4,M1,1-4-M1,5.41,0.211,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.189,0.03,0.242,0.12396694214876033
5/4/2022,4,M1,1-4-M1,6.49,0.21,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.282,0.10638297872340426
5/4/2022,4,M1,1-4-M1,7.57,0.21,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.308,0.0974025974025974
5/4/2022,4,M1,1-4-M1,8.65,0.209,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.325,0.0923076923076923
5/4/2022,4,M1,1-4-M1,9.73,0.209,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.339,0.08849557522123892
5/4/2022,4,M1,1-4-M1,10.82,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.34400000000000003,0.08720930232558138
5/4/2022,4,M1,1-4-M1,11.9,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.35100000000000003,0.08547008547008546
5/4/2022,4,M1,1-4-M1,12.98,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.35300000000000004,0.08498583569405098
5/4/2022,4,M1,1-4-M1,14.06,0.207,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.186,0.03,0.36000000000000004,0.08333333333333331
5/4/2022,4,M1,1-4-M1,15.14,0.208,1,M,Azithromycin,1,100.0,S. flexneri,M90T,Sf,100x,0.187,0.03,0.36400000000000005,0.0824175824175824
5/4/2022,4,M11,1-4-M11,0.0,0.209,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.187,0.03,0.03,1.0
5/4/2022,4,M11,1-4-M11,1.08,0.221,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x,0.193,0.03,0.03,1.0
