Time,Construct,Dose,Replicate,RawSignal
0,pSEVA634-GFP,0,1,0.139
0,pSEVA634-GFP,0.01,1,0.134
0,pSEVA634-GFP,0.05,1,0.138
0,pSEVA634-GFP,0.1,1,0.133
0,pSEVA634-GFP,0.2,1,0.143
0,pSEVA634-GFP,0.5,1,0.133
0,pSEVA634-GFP,1,1,0.138
0.5,pSEVA634-GFP,0,1,0.141
0.5,pSEVA634-GFP,0.01,1,0.133
0.5,pSEVA634-GFP,0.05,1,0.136
0.5,pSEVA634-GFP,0.1,1,0.134
0.5,pSEVA634-GFP,0.2,1,0.143
0.5,pSEVA634-GFP,0.5,1,0.134
0.5,pSEVA634-GFP,1,1,0.139
1,pSEVA634-GFP,0,1,0.142
1,pSEVA634-GFP,0.01,1,0.136
1,pSEVA634-GFP,0.05,1,0.138
1,pSEVA634-GFP,0.1,1,0.135
1,pSEVA634-GFP,0.2,1,0.144
1,pSEVA634-GFP,0.5,1,0.135
1,pSEVA634-GFP,1,1,0.14
1.5,pSEVA634-GFP,0,1,0.143
1.5,pSEVA634-GFP,0.01,1,0.138
1.5,pSEVA634-GFP,0.05,1,0.14
1.5,pSEVA634-GFP,0.1,1,0.136
1.5,pSEVA634-GFP,0.2,1,0.146
1.5,pSEVA634-GFP,0.5,1,0.136
1.5,pSEVA634-GFP,1,1,0.142
2,pSEVA634-GFP,0,1,0.144
2,pSEVA634-GFP,0.01,1,0.139
2,pSEVA634-GFP,0.05,1,0.142
2,pSEVA634-GFP,0.1,1,0.14
2,pSEVA634-GFP,0.2,1,0.153
2,pSEVA634-GFP,0.5,1,0.138
2,pSEVA634-GFP,1,1,0.144
2.5,pSEVA634-GFP,0,1,0.145
2.5,pSEVA634-GFP,0.01,1,0.14
2.5,pSEVA634-GFP,0.05,1,0.143
2.5,pSEVA634-GFP,0.1,1,0.143
2.5,pSEVA634-GFP,0.2,1,0.154
2.5,pSEVA634-GFP,0.5,1,0.141
2.5,pSEVA634-GFP,1,1,0.145
3,pSEVA634-GFP,0,1,0.145
3,pSEVA634-GFP,0.01,1,0.14
3,pSEVA634-GFP,0.05,1,0.143
3,pSEVA634-GFP,0.1,1,0.144
3,pSEVA634-GFP,0.2,1,0.152
3,pSEVA634-GFP,0.5,1,0.144
3,pSEVA634-GFP,1,1,0.145
3.5,pSEVA634-GFP,0,1,0.144
3.5,pSEVA634-GFP,0.01,1,0.141
3.5,pSEVA634-GFP,0.05,1,0.142
3.5,pSEVA634-GFP,0.1,1,0.143
3.5,pSEVA634-GFP,0.2,1,0.153
3.5,pSEVA634-GFP,0.5,1,0.142
3.5,pSEVA634-GFP,1,1,0.147
4,pSEVA634-GFP,0,1,0.145
4,pSEVA634-GFP,0.01,1,0.142
4,pSEVA634-GFP,0.05,1,0.142
4,pSEVA634-GFP,0.1,1,0.145
4,pSEVA634-GFP,0.2,1,0.156
4,pSEVA634-GFP,0.5,1,0.144
4,pSEVA634-GFP,1,1,0.149
4.5,pSEVA634-GFP,0,1,0.147
4.5,pSEVA634-GFP,0.01,1,0.144
4.5,pSEVA634-GFP,0.05,1,0.145
4.5,pSEVA634-GFP,0.1,1,0.148
4.5,pSEVA634-GFP,0.2,1,0.159
4.5,pSEVA634-GFP,0.5,1,0.147
4.5,pSEVA634-GFP,1,1,0.152
