Time,Plate,Well,Raw_od,hour,Well_id,Plt_well,Well_row,Well_column,Condition,Ratio,XMIC,MIC ug/ml
0:00:34,1,A1,0.205,0.00944,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
0:59:29,1,A1,0.2,0.99139,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
1:59:31,1,A1,0.2,1.99194,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
2:59:31,1,A1,0.2,2.99194,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
3:59:33,1,A1,0.202,3.9925,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
4:59:33,1,A1,0.205,4.9925,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
5:59:34,1,A1,0.21,5.99278,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
6:59:35,1,A1,0.216,6.99306,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
7:59:36,1,A1,0.226,7.99333,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
8:59:37,1,A1,0.236,8.99361,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
9:59:38,1,A1,0.25,9.99389,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
10:59:39,1,A1,0.26,10.99417,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
11:59:40,1,A1,0.27,11.99444,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
12:59:41,1,A1,0.266,12.99472,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
13:59:42,1,A1,0.266,13.995,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
14:59:43,1,A1,0.265,14.99528,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
15:59:44,1,A1,0.264,15.99556,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
16:59:45,1,A1,0.263,16.99583,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
17:59:44,1,A1,0.262,17.99556,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
18:59:45,1,A1,0.262,18.99583,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
19:59:47,1,A1,0.26,19.99639,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
20:59:47,1,A1,0.261,20.99639,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
21:59:49,1,A1,0.258,21.99694,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
22:59:50,1,A1,0.258,22.99722,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
23:59:51,1,A1,0.258,23.9975,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
24:59:51,1,A1,0.257,24.9975,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
25:59:52,1,A1,0.258,25.99778,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
26:59:54,1,A1,0.258,26.99833,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
27:59:54,1,A1,0.258,27.99833,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
28:59:55,1,A1,0.258,28.99861,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
29:59:56,1,A1,0.258,29.99889,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
30:59:57,1,A1,0.258,30.99917,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
31:59:58,1,A1,0.258,31.99944,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
32:59:58,1,A1,0.259,32.99944,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
34:00:00,1,A1,0.258,34,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
35:00:01,1,A1,0.259,35.00028,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
36:00:01,1,A1,0.259,36.00028,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
37:00:02,1,A1,0.259,37.00056,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
38:00:03,1,A1,0.26,38.00083,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
39:00:04,1,A1,0.261,39.00111,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
40:00:05,1,A1,0.26,40.00139,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
41:00:06,1,A1,0.261,41.00167,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
42:00:06,1,A1,0.261,42.00167,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
43:00:08,1,A1,0.261,43.00222,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
44:00:09,1,A1,0.262,44.0025,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
45:00:09,1,A1,0.262,45.0025,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
46:00:11,1,A1,0.263,46.00306,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
47:00:11,1,A1,0.263,47.00306,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
48:00:12,1,A1,0.264,48.00333,SPL1,1 - SPL1,A,1,SF,20,128,29.19296
0:00:34,2,A1,0.201,0.00944,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
0:59:29,2,A1,0.217,0.99139,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
1:59:31,2,A1,0.188,1.99194,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
2:59:31,2,A1,0.186,2.99194,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
3:59:33,2,A1,0.189,3.9925,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
4:59:33,2,A1,0.193,4.9925,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
5:59:34,2,A1,0.199,5.99278,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
6:59:35,2,A1,0.207,6.99306,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
7:59:36,2,A1,0.22,7.99333,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
8:59:37,2,A1,0.234,8.99361,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
9:59:38,2,A1,0.245,9.99389,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
10:59:39,2,A1,0.242,10.99417,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
11:59:40,2,A1,0.241,11.99444,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
12:59:41,2,A1,0.241,12.99472,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
13:59:42,2,A1,0.24,13.995,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
14:59:43,2,A1,0.239,14.99528,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
15:59:44,2,A1,0.238,15.99556,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
16:59:44,2,A1,0.237,16.99556,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
17:59:44,2,A1,0.238,17.99556,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
18:59:45,2,A1,0.236,18.99583,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
19:59:47,2,A1,0.236,19.99639,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
20:59:47,2,A1,0.236,20.99639,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
21:59:49,2,A1,0.235,21.99694,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
22:59:50,2,A1,0.235,22.99722,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
23:59:51,2,A1,0.235,23.9975,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
24:59:52,2,A1,0.235,24.99778,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
25:59:53,2,A1,0.235,25.99806,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
26:59:54,2,A1,0.235,26.99833,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
27:59:54,2,A1,0.235,27.99833,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
28:59:55,2,A1,0.235,28.99861,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
29:59:56,2,A1,0.235,29.99889,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
30:59:57,2,A1,0.235,30.99917,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
31:59:58,2,A1,0.236,31.99944,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
32:59:58,2,A1,0.237,32.99944,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
34:00:00,2,A1,0.237,34,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
35:00:01,2,A1,0.238,35.00028,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
36:00:02,2,A1,0.239,36.00056,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
37:00:02,2,A1,0.24,37.00056,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
38:00:03,2,A1,0.241,38.00083,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
39:00:04,2,A1,0.241,39.00111,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
40:00:05,2,A1,0.243,40.00139,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
41:00:06,2,A1,0.243,41.00167,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
42:00:07,2,A1,0.244,42.00194,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
43:00:08,2,A1,0.244,43.00222,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
44:00:09,2,A1,0.246,44.0025,SPL1,2 - SPL1,A,1,SF,20,128,29.19296
