,Date,Plt,Well,WellID,Time_h,RawOD,Col,Row,Cpd,Qrt,uM,Species,Strain,Nick,Dil
0,5/4/2022,4,M1,1-4-M1,0,0.217,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
1,5/4/2022,4,M1,1-4-M1,1.08,0.233,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
2,5/4/2022,4,M1,1-4-M1,2.16,0.213,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
3,5/4/2022,4,M1,1-4-M1,3.24,0.213,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
4,5/4/2022,4,M1,1-4-M1,4.32,0.212,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
5,5/4/2022,4,M1,1-4-M1,5.41,0.211,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
6,5/4/2022,4,M1,1-4-M1,6.49,0.21,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
7,5/4/2022,4,M1,1-4-M1,7.57,0.21,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
8,5/4/2022,4,M1,1-4-M1,8.65,0.209,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
9,5/4/2022,4,M1,1-4-M1,9.73,0.209,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
10,5/4/2022,4,M1,1-4-M1,10.82,0.208,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
11,5/4/2022,4,M1,1-4-M1,11.9,0.208,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
12,5/4/2022,4,M1,1-4-M1,12.98,0.208,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
13,5/4/2022,4,M1,1-4-M1,14.06,0.207,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
14,5/4/2022,4,M1,1-4-M1,15.14,0.208,1,M,Azithromycin,1,100,S. flexneri,M90T,Sf,100x
15,5/4/2022,4,M11,1-4-M11,0,0.209,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
16,5/4/2022,4,M11,1-4-M11,1.08,0.221,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
17,5/4/2022,4,M11,1-4-M11,2.16,0.253,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
18,5/4/2022,4,M11,1-4-M11,3.24,0.319,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
19,5/4/2022,4,M11,1-4-M11,4.32,0.377,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
20,5/4/2022,4,M11,1-4-M11,5.41,0.42,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
21,5/4/2022,4,M11,1-4-M11,6.49,0.456,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
22,5/4/2022,4,M11,1-4-M11,7.57,0.488,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
23,5/4/2022,4,M11,1-4-M11,8.65,0.502,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
24,5/4/2022,4,M11,1-4-M11,9.73,0.522,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
25,5/4/2022,4,M11,1-4-M11,10.82,0.53,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
26,5/4/2022,4,M11,1-4-M11,11.9,0.54,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
27,5/4/2022,4,M11,1-4-M11,12.98,0.539,11,M,Azithromycin,1,0.3,S. flexneri,M90T,Sf,100x
